rev-sym,iata-req,onu,Nombre apropiado de envío/Descripción,Clase o Div. (Peligros sec.),Etiqueta(s) de peligro,Grp. De emb.,EQ,APCCL-embalaje,APCCL-neta-máx-bulto,APC-embalaje,APC-neta-máx-bulto,AC-embalaje,AC-neta-máx-bulto,Disp-espec,CRE,ingles
,,129,"Azida de plomo humidificada
con un mínimo del 20%, en peso, de agua o de una mezcla de alcohol y agua",1.1A,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Lead azide, wetted
with 20% or more water or mixture of alcohol and water, by weight"
,,130,"Estifnato de plomo, humidificado
con un mínimo del 20%, en peso, de agua o de una mezcla de alcohol y agua",1.1A,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Lead styphnate, wetted
with 20% or more water or mixture of alcohol and water, by weight"
,,130,"Trinitroresorcinato de plomo, humidificado
con un mínimo del 20%, en peso, de agua o una mezcla de alcohol y agua",1.1A,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Lead trinitroresorcinate, wetted
with 20% or more water, or mixture of alcohol and water, by weight"
,,131,Encendedores para mechas de seguridad †,1.4S,Explosivo 1.4,,E0,Prohibido,Prohibido,142,25 kg,142,100 kg,A802,3L,"Lighters, fuse †"
,,132,"Sales metálicas deflagrantes de derivados nitrados aromáticos, n.e.p.",1.3C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Deflagrating metal salts of aromatic nitroderivatives, n.o.s."
,,133,"Hexanitrato de manitol, humidificado
con un mínimo del 40%, en peso, de agua o de una mezcla de alcohol y agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Mannitol hexanitrate, wetted
with 40% or more water or mixture of alcohol and water, by weight"
,,133,"Nitromanita, humidificado
con un mínimo del 40%, en peso, de agua o de una mezcla de alcohol y agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Nitromannite, wetted
with 40% or more water, or mixture of alcohol and water, by weight"
,,135,"Fulminato de mercurio humidificado
con un mínimo del 20%, en peso, de agua o de una mezcla de alcohol y agua",1.1A,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Mercury fulminate, wetted
with 20% or more water or mixture of alcohol and water, by weight"
,,136,"Minas † 
con carga explosiva",1.1F,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Mines † 
with bursting charge"
,,137,"Minas † 
con carga explosiva",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Mines † 
with bursting charge"
,,138,"Minas † 
con carga explosiva",1.2D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Mines † 
with bursting charge"
,,143,"Nitroglicerina, desensibilizada
con un minimo del 40%, en peso, de flemador no volátil, insoluble en agua",1.1D (6.1),,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1P,"Nitroglycerin, desensitized
with 40% or more non-volatile water-insoluble phlegmatizer, by weight"
,,144,"Nitroglicerina en solución alcohólica
con más del 1% pero no más del 10% de nitroglicerina",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Nitroglycerin solution in alcohol
with 10% or less but more than 1% nitroglycerin"
,,146,"Nitroalmidón
seco o humidificado con menos del 20%, en peso, de agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Nitrostarch
dry or wetted with less than 20% water, by weight"
,,147,Nitrourea,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Nitro urea
,,150,"Tetranitrato de pentaeritriol, desensibilizado
con el 15% ó más de flemador, en peso",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Pentaerythritol tetranitrate, desensitized
with 15% or more phlegmatizer, by weight"
,,150,"Tetranitrato de pentaeritrita, desensibilizado
con el 15% ó más, en peso, de flemador",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Pentaerythrite tetranitrate, desensitized
with 15% or more phlegmatizer, by weight"
,,150,"Tetranitrato de pentaeritrita, humidificado
con el 25% ó más, en peso, de agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Pentaerythrite tetranitrate, wetted
with 25% or more water, by weight"
,,150,"Tetranitrato de pentaeritritol, humidificado
con el 25% ó más de agua, en peso",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Pentaerythritol tetranitrate, wetted
with 25% or more water, by weight"
,,150,"TNPE, desensibilizado
con el 15% ó más de flemador, en peso",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"PETN, desensitized
with 15% or more phlegmatizer, by weight"
,,150,"TNPE, humidificado
con el 25% ó más de agua, en peso",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"PETN, wetted
with 25% or more water, by weight"
,,151,"Pentolita
seca o humidificada con menos del 15%, en peso, de agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Pentolite
dry or wetted with less than 15% water, by weight"
,,153,Picramida,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Picramide
,,153,Trinitroanilina,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Trinitroaniline
,,154,"Ácido pícrico
seco o humidificado con menos del 30%, en peso, de agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Picric acid
dry or wetted with < 30% water, by weight"
,,154,"Trinitrofenol
seco o humidificado con menos del 30%, en peso, de agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Trinitrophenol
dry or wetted with < 30% water, by weight"
,,155,Cloruro de picrilo,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Picryl chloride
,,155,Trinitroclorobenceno,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Trinitrochlorobenzene
,,159,"Galleta de pólvora humidificada † 
con un mínimo del 25%, en peso, de agua",1.3C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Powder cake, wetted † 
with 25% or more water, by weight"
,,160,Pólvora sin humo †,1.1C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Powder, smokeless †"
,,161,Pólvora sin humo †,1.3C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Powder, smokeless †"
,,167,"Proyectiles † 
con carga explosiva",1.1F,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Projectiles † 
with bursting charge"
,,168,"Proyectiles † 
con carga explosiva",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Projectiles † 
with bursting charge"
,,169,"Proyectiles † 
con carga explosiva",1.2D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Projectiles † 
with bursting charge"
,,171,"Municiones iluminantes † 
con o sin carga dispersora, carga expulsora o carga propulsora",1.2G,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Ammunition, illuminating † 
with or without burster, expelling charge or propelling charge"
,,173,Cargas explosivas de separación †,1.4S,Explosivo 1.4,,E0,Prohibido,Prohibido,134,25 kg,134,100 kg,A802,3L,"Release devices, explosive †"
,,174,Remaches explosivos,1.4S,Explosivo 1.4,,E0,Prohibido,Prohibido,134,25 kg,134,100 kg,A802,3L,"Rivets, explosive"
,,180,"Cohetes † 
con carga explosiva",1.1F,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Rockets † 
with bursting charge"
,,181,"Cohetes † 
con carga explosiva",1.1E,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Rockets † 
with bursting charge"
,,182,"Cohetes † 
con carga explosiva",1.2E,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Rockets † 
with bursting charge"
,,183,"Cohetes † 
con cabeza inerte",1.3C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Rockets † 
with inert head"
,,186,Motores de cohete †,1.3C,Explosivo,,E0,Prohibido,Prohibido,Prohibido,Prohibido,130,220 kg,A802,1L,Rocket motors †
,,190,"Muestras de explosivos ★
excepto los explosivos iniciadores",1,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Samples, explosive ★
other than initiating explosives"
,,191,Artificios manuales de pirotecnia para señales †,1.4G,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,135,75 kg,A802,1L,"Signal devices, hand †"
,,192,"Petardos de señales para ferrocarriles, explosivos †",1.1G,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Signals, railway track, explosive †"
,,193,"Petardos de señales para ferrocarriles, explosivos †",1.4S,Explosivo 1.4,,E0,Prohibido,Prohibido,135,25 kg,135,100 kg,A802,3L,"Signals, railway track, explosive †"
,,194,"Señales de socorro † 
para barcos",1.1G,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Signals, distress † 
ship"
,,195,"Señales de socorro † 
para barcos",1.3G,Explosivo,,E0,Prohibido,Prohibido,Prohibido,Prohibido,135,75 kg,A802,1L,"Signals, distress † 
ship"
,,196,Señales fumígenas †,1.1G,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Signals, smoke †"
,,197,Señales fumígenas †,1.4G,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,135,75 kg,A802,1L,"Signals, smoke †"
,,204,Cargas explosivas para sondeos †,1.2F,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Sounding devices, explosive †"
,,207,Tetranitroanilina,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Tetranitroaniline
,,208,Tetrilo,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Tetryl
,,208,Trinitrofenilmetilnitramina,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Trinitrophenylmethylnitramine
,,209,"TNT
seco o humidificado con menos del 30%, en peso, de agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"TNT
dry or wetted with < 30% water, by weight"
,,209,"Trinitrotolueno
seco o humidificado con menos del 30%, en peso, de agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Trinitrotoluene
dry or wetted with < 30% water, by weight"
,,212,Trazadores para municiones †,1.3G,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Tracers for ammunition †
,,213,Trinitroanisol,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Trinitroanisole
,,214,"Trinitrobenceno
seco o humidificado con menos del 30%, en peso, de agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Trinitrobenzene
dry or wetted with < 30% water, by weight"
,,215,"Ácido trinitrobenzoico
seco o humidificado con menos del 30%, peso, de agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Trinitrobenzoic acid
dry or wetted with < 30% water, by weight"
,,216,Trinitro-m-cresol,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Trinitro-m-cresol
,,217,Trinitronaftaleno,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Trinitronaphthalene
,,218,Trinitrofenetol,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Trinitrophenetole
,,219,"Ácido estífnico
seco o humidificado con menos del 20%, en peso, de agua o de una mezcla de alcohol y agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Styphnic acid
dry or wetted with less than 20% water, or mixture of alcohol and water, by weight"
,,219,"Trinitrorresorcinol
seco o humidificado con menos del 20%, en peso, de agua o de una mezcla de alcohol y agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Trinitroresorcinol
dry or wetted with less than 20% water, or mixture of alcohol and water, by weight"
,,220,"Nitrato de urea
seco o humidificado con < 20% en peso, de agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Urea nitrate
dry or wetted with < 20% water, by weight"
,,221,"Cabezas de combate para torpedos † 
con carga explosiva",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Warheads, torpedo † 
with bursting charge"
,,222,Nitrato amónico,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Ammonium nitrate
,,224,"Azida de bario
seca o humidificada con menos del 50%, en peso, de agua",1.1A (6.1),,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1P,"Barium azide
dry or wetted with less than 50% water, by weight"
,,225,Multiplicadores con detonador †,1.1B,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Boosters with detonator †
,,226,"Ciclotetrametilentetranitramina, humidificada
con un mínimo del 15% en peso, de agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Cyclotetramethylenetetranitramine, wetted
with 15% or more water, by weight"
,,226,"HMX, humidificada
con no menos del 15% en peso, de agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"HMX, wetted
with not less than 15% water, by weight"
,,226,"Octógeno, humidificado
con no menos del 15% en peso, de agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Octogen, wetted
with not less than 15% water, by weight"
,,234,"Dinitro-o-cresolato sódico
seco o humidificado con menos del 15% en peso, de agua",1.3C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Sodium dinitro-o-cresolate
dry or wetted with less than 15% water, by weight"
,,235,"Picramato sódico
seco o humidificado con menos del 20%, en peso, de agua",1.3C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Sodium picramate
dry or wetted with less than 20% water, by weight"
,,236,"Picramato de circonio
seco o humidificado con menos del 20%, en peso, de agua",1.3C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Zirconium picramate
dry or wetted with less than 20% water, by weight"
,,237,Mecha detonante perfilada flexible †,1.4D,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,138,75 kg,A802,1L,"Charges, shaped, flexible, linear †"
,,238,Cohetes lanzacabos †,1.2G,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Rockets, line-throwing †"
,,240,Cohetes lanzacabos †,1.3G,Explosivo,,E0,Prohibido,Prohibido,Prohibido,Prohibido,130,75 kg,A802,1L,"Rockets, line-throwing †"
,,241,"Explosivos para voladuras, Tipo E †",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Explosive, blasting, type E †"
,,242,Cargas propulsoras de artillería †,1.3C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Charges, propelling, for cannon †"
,,243,"Municiones incendiarias de fósforo blanco † 
con carga dispersora, carga expulsora o carga porpulsora",1.2H,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Ammunition, incendiary, white phosphorus † 
with burster, expelling charge or propelling charge"
,,244,"Municiones incendiarias de fósforo blanco † 
con carga dispersora, carga expulsora o carga propulsora",1.3H,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Ammunition, incendiary, white phosphorus † 
with burster, expelling charge or propelling charge"
,,245,"Municiones fumígenas de fósforo blanco † 
con carga dispersora, carga expulsora o carga propulsora",1.2H,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Ammunition, smoke, white phosphorus † 
with burster, expelling charge or propelling charge"
,,246,"Municiones fumígenas de fósforo blanco † 
con carga dispersora, carga expulsora o carga propulsora",1.3H,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Ammunition, smoke, white phosphorus † 
with burster, expelling charge or propelling charge"
,,247,"Municiones incendiarias † 
en forma de líquido o de gel, con carga dispersora, carga expulsora o carta propulsora",1.3J,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Ammunition, incendiary † 
liquid or gel, with burster, expelling charge or propelling charge"
,,248,"Dispositivos activados por el agua ★ † 
con carga dispersora, carga expulsora o carga propulsora",1.2L,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Contrivances, water-activated † ★
with burster, expelling charge or propelling charge"
,,249,"Dispositivos activados por el agua ★ † 
con carga dispersora, carga expulsora o carga propulsora",1.3L,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Contrivances, water-activated † ★
with burster, expelling charge or propelling charge"
,,250,"Motores de cohete con líquidos hipergólicos † 
con o sin carga expulsora",1.3L,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Rocket motors with hypergolic liquids † 
with or without expelling charge"
,,254,"Municiones iluminantes † 
con o sin carga dispersora, carga expulsora o carga propulsora",1.3G,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Ammunition, illuminating † 
with or without burster, expelling charge or propelling charge"
,,255,"Detonadores eléctricos † 
para voladuras",1.4B,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,131,75 kg,A802,1L,"Detonators, electric † 
for blasting"
,,257,Espoletas detonantes †,1.4B,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,141,75 kg,A802,1L,"Fuzes, detonating †"
,,266,"Octol
seco o humedecido con < 15% en peso, de agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Octol
dry or wetted with < 15% water, by weight"
,,266,"Octolita
seca o humidificada con < 15% en peso, de agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Octolite
dry or wetted with < 15% water, by weight"
,,267,"Detonadores no eléctricos † 
para voladuras",1.4B,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,131,75 kg,A802,1L,"Detonators, non-electric † 
for blasting"
,,268,Multiplicadores con detonador †,1.2B,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Boosters with detonator †
,,271,Cargas propulsoras †,1.1C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Charges, propelling †"
,,272,Cargas propulsoras †,1.3C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Charges, propelling †"
,,275,Cartuchos de accionamiento †,1.3C,Explosivo,,E0,Prohibido,Prohibido,Prohibido,Prohibido,134,75 kg,A802,1L,"Cartridges, power device †"
,,276,Cartuchos de accionamiento †,1.4C,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,134,75 kg,A802,1L,"Cartridges, power device †"
,,277,Cartuchos para perforación de pozos petrolíferos †,1.3C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Cartridges, oil well †"
,,278,Cartuchos para perforación de pozos petrolíferos †,1.4C,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,134,75 kg,A802,1L,"Cartridges, oil well †"
,,279,Cargas propulsoras de artillería †,1.1C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Charges, propelling, for cannon †"
,,280,Motores de cohete †,1.1C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Rocket motors †
,,281,Motores de cohete †,1.2C,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Rocket motors †
,,282,"Nitroguanidina
seca o humidificada con menos del 20%, en peso, de agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Nitroguanidine
dry or wetted with less than 20% water, by weight"
,,282,"Picrita
seca o humedecida con menos del 20% en peso, de agua",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Picrite
dry or wetted with less than 20% water, by weight"
,,283,"Multiplicadores † 
sin detonador",1.2D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Boosters † 
without detonator"
,,284,"Granadas † 
de mano o de fusil, con carga explosiva",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Grenades † 
hand or rifle, with bursting charge"
,,285,"Granadas † 
de mano o de fusil, con carga explosiva",1.2D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Grenades † 
hand or rifle, with bursting charge"
,,286,"Cabezas de combate para cohetes † 
con carga dispersora",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Warheads, rocket † 
with bursting charge"
,,287,"Cabezas de combate para cohetes † 
con carga dispersora",1.2D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Warheads, rocket † 
with bursting charge"
,,288,Mecha detonante perfilada flexible †,1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Charges, shaped, flexible, linear †"
,,289,"Mecha detonante † 
flexible",1.4D,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,139,75 kg,"A1
A802",1L,"Cord, detonating † 
flexible"
,,290,"Mecha detonante † 
con envoltura metálica",1.1D,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Cord, detonating † 
metal clad"
,,291,"Bombas † 
con carga explosiva",1.2F,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Bombs † 
with bursting charge"
,,292,"Granadas † 
de mano o de fusil, con carga explosiva",1.1F,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Grenades † 
hand or rifle, with bursting charge"
,,293,"Granadas † 
de mano o de fusil, con carga explosiva",1.2F,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Grenades † 
hand or rifle, with bursting charge"
,,294,"Minas † 
con carga explosiva",1.2F,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Mines † 
with bursting charge"
,,295,"Cohetes † 
con carga explosiva",1.2F,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Rockets † 
with bursting charge"
,,296,Cargas explosivas para sondeos †,1.1F,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Sounding devices, explosive †"
,,297,"Municiones iluminantes † 
con o sin carga dispersora, carga expulsora o carga propulsora",1.4G,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,130,75 kg,A802,1L,"Ammunition, illuminating † 
with or without burster, expelling charge or propelling charge"
,,299,Bombas de iluminación para fotografía †,1.3G,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Bombs, photo-flash †"
,,300,"Municiones incendiarias † 
con o sin carga dispersora, carga expulsora o carga propulsora",1.4G,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,130,75 kg,A802,1L,"Ammunition, incendiary † 
with or without burster, expelling charge or propelling charge"
,,301,"Municiones lacrimógenas † 
con carga dispersora, carga expulsora o carga propulsora","1.4G (6.1, 8)","Explosivo 1.4
Tóxico
Corrosivo",,E0,Prohibido,Prohibido,Prohibido,Prohibido,130,75 kg,A802,1CP,"Ammunition, tear-producing † 
with burster, expelling charge or propelling charge"
,,303,"Municiones fumígenas † 
con o sin carga dispersora, carga expulsora o carga propulsora",1.4G,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,130,75 kg,"A132
A802",1L,"Ammunition, smoke † 
with or without burster, expelling charge or propelling charge"
,,305,Fotopólvora †,1.3G,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Flash powder †
,,306,Trazadores para municiones †,1.4G,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,133,75 kg,A802,1L,Tracers for ammunition †
,,312,Cartuchos de señales †,1.4G,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,135,75 kg,A802,1L,"Cartridges, signal †"
,,313,Señales fumígenas †,1.2G,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Signals, smoke †"
,,314,Inflamadores †,1.2G,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Igniters †
,,315,Inflamadores †,1.3G,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,Igniters †
,,316,Mechas de ignición †,1.3G,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Fuzes, igniting †"
,,317,Mechas de ignición †,1.4G,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,141,75 kg,A802,1L,"Fuzes, igniting †"
,,318,"Granadas de ejercicios † 
de mano o de fusil",1.3G,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Grenades, practice † 
hand or rifle"
,,319,Cebos tubulares †,1.3G,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Primers, tubular †"
,,320,Cebos tubulares †,1.4G,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,133,75 kg,A802,1L,"Primers, tubular †"
,,321,"Cartuchos para armas † 
con carga explosiva",1.2E,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Cartridges for weapons † 
with bursting charge"
,,322,"Motores de cohete que contengan líquidos hipergólicos † 
con o sin carga expulsora",1.2L,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Rocket motors with hypergolic liquids † 
with or without expelling charge"
,,323,Cartuchos de accionamiento †,1.4S,Explosivo 1.4,,E0,Prohibido,Prohibido,134,25 kg,134,100 kg,"A165
A802",3L,"Cartridges, power device †"
,,324,"Proyectiles † 
con carga explosiva",1.2F,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,1L,"Projectiles † 
with bursting charge"
,,325,Inflamadores †,1.4G,Explosivo 1.4,,E0,Prohibido,Prohibido,Prohibido,Prohibido,142,75 kg,A802,1L,Igniters †
